Model Outputs
250
,,salto:LAbsAnkleAngle,,,salto:LAnkleAngles,,,salto:LAnkleForce,,,salto:LAnkleMoment,,,salto:LAnklePower,,,salto:LFE,,,,,,,,,salto:LFO,,,,,,,,,salto:LFootProgressAngles,,,salto:LGroundReactionForce,,,salto:LGroundReactionMoment,,,salto:LHipAngles,,,salto:LHipForce,,,salto:LHipMoment,,,salto:LHipPower,,,salto:LKneeAngles,,,salto:LKneeForce,,,salto:LKneeMoment,,,salto:LKneePower,,,salto:LNormalisedGRF,,,salto:LPelvisAngles,,,salto:LTI,,,,,,,,,salto:LTO,,,,,,,,,salto:PEL,,,,,,,,,salto:RAbsAnkleAngle,,,salto:RAnkleAngles,,,salto:RAnkleForce,,,salto:RAnkleMoment,,,salto:RAnklePower,,,salto:RFE,,,,,,,,,salto:RFO,,,,,,,,,salto:RFootProgressAngles,,,salto:RGroundReactionForce,,,salto:RGroundReactionMoment,,,salto:RHipAngles,,,salto:RHipForce,,,salto:RHipMoment,,,salto:RHipPower,,,salto:RKneeAngles,,,salto:RKneeForce,,,salto:RKneeMoment,,,salto:RKneePower,,,salto:RNormalisedGRF,,,salto:RPelvisAngles,,,salto:RTI,,,,,,,,,salto:RTO,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ
,,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,,,,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,,,,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm
618,0,30.9286,0,0,31.8163,1.91136,-12.8712,,,,,,,,,,39.8315,-26.4509,90.0897,444.535,454.169,804.221,400.831,400.831,400.831,82.4097,-33.33,103.641,476.002,288.32,487.46,206.983,206.983,206.983,-113.319,23.26,132.701,,,,,,,60.0815,9.00663,0.444464,,,,,,,,,,89.7979,18.4529,-8.9484,,,,,,,,,,,,,7.93253,-19.1464,-104.341,-48.2624,29.7883,108.997,576.684,192.305,538.555,375.767,375.767,375.767,82.4097,-33.33,103.641,433.033,339.029,468.932,68.9942,68.9942,68.9942,-6.37495,23.0156,104.385,650.649,224.805,1067.03,296.532,296.532,296.532,-32.0801,0,0,-32.1833,-1.32917,2.69434,,,,,,,,,,12.8373,-6.54047,113.598,750.657,331.165,650.868,392.963,392.963,392.963,47.8963,-53.3363,60.0888,779.029,545.91,139.923,218.946,218.946,218.946,-29.7588,-49.9562,64.1798,,,,,,,28.4582,-8.87081,12.3706,,,,,,,,,,1.70504,-3.91144,-43.0553,,,,,,,,,,,,,7.93253,19.1464,104.341,10.5309,-5.05048,70.5366,734.359,414.629,213.334,425.029,425.029,425.029,47.8963,-53.3363,60.0888,795.09,611.65,112.427,72.9819,72.9819,72.9819
619,0,31.0373,0,0,31.9207,1.89602,-12.8165,,,,,,,,,,40.0518,-26.5557,89.8951,444.68,456.283,801.93,400.779,400.779,400.779,82.3552,-33.3952,103.661,476.555,290.355,485.952,206.982,206.983,206.983,-113.377,23.2599,132.664,,,,,,,60.3003,9.05289,0.52762,,,,,,,,,,90.1649,18.6374,-8.8701,,,,,,,,,,,,,7.98187,-19.134,-104.366,-48.4019,29.8273,108.958,577.13,194.266,537.123,375.402,375.402,375.402,82.3552,-33.3952,103.661,433.634,341.094,467.396,68.9942,68.9942,68.9942,-6.31668,23.042,104.417,650.851,225.818,1063.43,296.532,296.532,296.532,-31.6618,0,0,-31.7839,-1.25262,2.34021,,,,,,,,,,12.8552,-6.54882,113.898,750.7,332.154,647.18,392.884,392.884,392.884,48.0331,-53.5705,60.3985,777.874,545.542,137.04,218.946,218.946,218.946,-29.6928,-50.3312,64.4421,,,,,,,28.4222,-8.91003,12.6477,,,,,,,,,,1.88479,-3.73437,-42.7866,,,,,,,,,,,,,7.98187,19.134,104.366,10.4127,-4.87281,71.1311,733.506,413.9,209.897,424.507,424.507,424.507,48.0331,-53.5705,60.3985,793.742,611.411,109.788,72.9819,72.9819,72.9819
620,0,31.1595,0,0,32.0386,1.87992,-12.7591,,,,,,,,,,40.3056,-26.67,89.6587,444.851,458.687,799.29,400.728,400.728,400.728,82.2906,-33.4708,103.683,477.172,292.673,484.206,206.983,206.983,206.983,-113.446,23.2623,132.621,,,,,,,60.5514,9.10371,0.637292,,,,,,,,,,90.5863,18.859,-8.77057,,,,,,,,,,,,,8.03586,-19.1194,-104.393,-48.5594,29.8705,108.906,577.621,196.496,535.465,374.977,374.977,374.977,82.2906,-33.4708,103.683,434.309,343.449,465.615,68.9942,68.9942,68.9942,-6.25233,23.07,104.45,651.079,226.955,1059.3,296.532,296.532,296.532,-31.1465,0,0,-31.2899,-1.15336,1.89177,,,,,,,,,,12.874,-6.57541,114.273,750.773,333.313,642.975,392.781,392.781,392.782,48.2033,-53.8582,60.7425,776.561,545.072,133.872,218.946,218.946,218.946,-29.6728,-50.7064,64.7586,,,,,,,28.3896,-8.95652,12.9995,,,,,,,,,,2.09338,-3.50493,-42.4685,,,,,,,,,,,,,8.03586,19.1194,104.393,10.2765,-4.65445,71.8517,732.528,413,206.034,423.869,423.869,423.869,48.2033,-53.8582,60.7425,792.213,611.092,106.927,72.9819,72.9819,72.9818
621,0,31.2947,0,0,32.1697,1.86341,-12.7002,,,,,,,,,,40.5932,-26.7922,89.377,445.05,461.378,796.295,400.682,400.682,400.682,82.2153,-33.557,103.707,477.851,295.271,482.216,206.982,206.983,206.983,-113.526,23.2677,132.569,,,,,,,60.8349,9.15854,0.776987,,,,,,,,,,91.0626,19.1201,-8.64734,,,,,,,,,,,,,8.09388,-19.1027,-104.422,-48.7343,29.9175,108.84,578.153,198.992,533.576,374.489,374.489,374.489,82.2153,-33.557,103.707,435.054,346.089,463.585,68.9942,68.9942,68.9942,-6.18251,23.0989,104.486,651.331,228.21,1054.63,296.532,296.532,296.532,-30.5253,0,0,-30.6922,-1.02846,1.33823,,,,,,,,,,12.8935,-6.62468,114.728,750.882,334.651,638.259,392.654,392.654,392.654,48.4104,-54.2039,61.1175,775.092,544.486,130.449,218.946,218.945,218.946,-29.7127,-51.0678,65.1329,,,,,,,28.3625,-9.01069,13.4348,,,,,,,,,,2.33141,-3.21623,-42.0985,,,,,,,,,,,,,8.09388,19.1027,104.422,10.1223,-4.39155,72.7083,731.426,411.911,201.765,423.106,423.106,423.106,48.4104,-54.2039,61.1176,790.508,610.683,103.881,72.9818,72.9819,72.9818
622,0,31.4417,0,0,32.3131,1.84693,-12.6415,,,,,,,,,,40.9142,-26.9209,89.0474,445.279,464.345,792.949,400.643,400.643,400.643,82.1291,-33.654,103.732,478.586,298.14,479.982,206.983,206.983,206.983,-113.618,23.2767,132.51,,,,,,,61.1503,9.21672,0.949948,,,,,,,,,,91.5928,19.4224,-8.49819,,,,,,,,,,,,,8.15509,-19.0837,-104.451,-48.9255,29.9679,108.758,578.718,201.744,531.457,373.938,373.938,373.938,82.1291,-33.654,103.732,435.866,349.007,461.304,68.9942,68.9942,68.9942,-6.10806,23.1281,104.523,651.606,229.573,1049.44,296.532,296.532,296.532,-29.7905,0,0,-29.983,-0.875017,0.66945,,,,,,,,,,12.9132,-6.70154,115.271,751.032,336.174,633.048,392.5,392.5,392.499,48.6572,-54.611,61.5193,773.475,543.772,126.816,218.946,218.946,218.946,-29.8274,-51.3989,65.5679,,,,,,,28.3436,-9.0729,13.9619,,,,,,,,,,2.59879,-2.86128,-41.675,,,,,,,,,,,,,8.15509,19.0837,104.451,9.95038,-4.08048,73.7093,730.201,410.622,197.119,422.209,422.209,422.209,48.6572,-54.611,61.5192,788.635,610.171,100.7,72.9819,72.9819,72.9819
623,0,31.5995,0,0,32.4677,1.83094,-12.5846,,,,,,,,,,41.2676,-27.0542,88.6676,445.539,467.571,789.261,400.613,400.613,400.613,82.0319,-33.7618,103.757,479.369,301.267,477.504,206.983,206.983,206.983,-113.722,23.2897,132.443,,,,,,,61.4967,9.27747,1.15897,,,,,,,,,,92.1748,19.767,-8.32117,,,,,,,,,,,,,8.21853,-19.0624,-104.48,-49.131,30.0207,108.658,579.309,204.739,529.108,373.323,373.323,373.323,82.0319,-33.7618,103.757,436.736,352.19,458.776,68.9942,68.9942,68.9942,-6.02996,23.1568,104.56,651.901,231.033,1043.74,296.532,296.532,296.532,-28.9361,0,0,-29.1556,-0.690301,-0.123738,,,,,,,,,,12.9323,-6.8112,115.908,751.232,337.884,627.371,392.315,392.315,392.315,48.9462,-55.0815,61.9417,771.72,542.92,123.022,218.946,218.946,218.946,-30.032,-51.6816,66.065,,,,,,,28.336,-9.14343,14.5887,,,,,,,,,,2.89473,-2.43316,-41.1972,,,,,,,,,,,,,8.21853,19.0624,104.48,9.76148,-3.71785,74.8611,728.862,409.12,192.138,421.171,421.171,421.171,48.9463,-55.0815,61.9417,786.606,609.546,97.4391,72.9818,72.9819,72.9819
624,0,31.7663,0,0,32.6323,1.81593,-12.5313,,,,,,,,,,41.6519,-27.1905,88.2364,445.831,471.038,785.245,400.597,400.597,400.597,81.9239,-33.8805,103.783,480.191,304.635,474.789,206.983,206.983,206.983,-113.838,23.307,132.368,,,,,,,61.8726,9.33995,1.40622,,,,,,,,,,92.8057,20.1541,-8.11474,,,,,,,,,,,,,8.28313,-19.0388,-104.508,-49.3487,30.0753,108.538,579.918,207.958,526.534,372.647,372.647,372.647,81.9239,-33.8805,103.783,437.657,355.62,456.005,68.9942,68.9942,68.9942,-5.94941,23.1841,104.596,652.214,232.574,1037.55,296.532,296.532,296.532,-27.9577,0,0,-28.2051,-0.471798,-1.04912,,,,,,,,,,12.9503,-6.95927,116.645,751.487,339.786,621.262,392.098,392.098,392.098,49.2793,-55.6156,62.3776,769.84,541.921,119.121,218.946,218.946,218.946,-30.341,-51.8959,66.6242,,,,,,,28.3428,-9.22253,15.3223,,,,,,,,,,3.21774,-1.92503,-40.6658,,,,,,,,,,,,,8.28313,19.0388,104.508,9.55676,-3.30057,76.1678,727.415,407.398,186.872,419.987,419.987,419.987,49.2793,-55.6156,62.3776,784.439,608.799,94.1549,72.9818,72.9819,72.9819
625,0,31.9405,0,0,32.8051,1.8024,-12.4833,,,,,,,,,,42.065,-27.3283,87.7534,446.158,474.72,780.92,400.595,400.595,400.595,81.8056,-34.01,103.808,481.045,308.224,471.845,206.983,206.983,206.983,-113.965,23.3284,132.283,,,,,,,62.2762,9.40332,1.69309,,,,,,,,,,93.4814,20.5827,-7.87789,,,,,,,,,,,,,8.34774,-19.0131,-104.535,-49.5757,30.1304,108.398,580.535,211.381,523.741,371.912,371.912,371.912,81.8055,-34.01,103.808,438.619,359.279,453,68.9942,68.9942,68.9942,-5.86761,23.2092,104.631,652.541,234.18,1030.92,296.532,296.532,296.532,-26.8535,0,0,-27.1286,-0.217325,-2.11269,,,,,,,,,,12.9663,-7.15149,117.484,751.804,341.883,614.767,391.847,391.847,391.847,49.6573,-56.2115,62.8185,767.852,540.767,115.171,218.946,218.946,218.946,-30.7682,-52.0216,67.2438,,,,,,,28.3678,-9.3104,16.1685,,,,,,,,,,3.56559,-1.33031,-40.0823,,,,,,,,,,,,,8.34774,19.0131,104.535,9.33777,-2.82583,77.6313,725.873,405.453,181.377,418.655,418.655,418.655,49.6573,-56.2115,62.8185,782.153,607.919,90.9056,72.9818,72.9818,72.9818
626,0,32.12,0,0,32.9845,1.79082,-12.4423,,,,,,,,,,42.5043,-27.4662,87.219,446.522,478.591,776.311,400.612,400.611,400.611,81.6777,-34.1505,103.831,481.92,312.012,468.68,206.983,206.983,206.983,-114.102,23.354,132.189,,,,,,,62.7054,9.46678,2.02005,,,,,,,,,,94.1971,21.0512,-7.61019,,,,,,,,,,,,,8.41119,-18.9852,-104.558,-49.8088,30.1851,108.237,581.15,214.986,520.736,371.122,371.122,371.122,81.6777,-34.1505,103.831,439.613,363.144,449.772,68.9942,68.9942,68.9942,-5.7859,23.2313,104.662,652.877,235.833,1023.87,296.532,296.532,296.532,-25.6241,0,0,-25.9255,0.0748659,-3.31823,,,,,,,,,,12.9795,-7.39381,118.429,752.188,344.175,607.936,391.562,391.562,391.562,50.0805,-56.8651,63.2551,765.776,539.455,111.23,218.946,218.946,218.946,-31.3253,-52.0382,67.9202,,,,,,,28.4148,-9.40718,17.1322,,,,,,,,,,3.93536,-0.642826,-39.4497,,,,,,,,,,,,,8.41119,18.9852,104.558,9.10646,-2.29128,79.2504,724.25,403.288,175.715,417.173,417.173,417.173,50.0805,-56.8651,63.2551,779.771,606.901,87.7464,72.9819,72.9819,72.9818
