Model Outputs
250
,,salto:LAbsAnkleAngle,,,salto:LAnkleAngles,,,salto:LAnkleForce,,,salto:LAnkleMoment,,,salto:LAnklePower,,,salto:LFE,,,,,,,,,salto:LFO,,,,,,,,,salto:LFootProgressAngles,,,salto:LGroundReactionForce,,,salto:LGroundReactionMoment,,,salto:LHipAngles,,,salto:LHipForce,,,salto:LHipMoment,,,salto:LHipPower,,,salto:LKneeAngles,,,salto:LKneeForce,,,salto:LKneeMoment,,,salto:LKneePower,,,salto:LNormalisedGRF,,,salto:LPelvisAngles,,,salto:LTI,,,,,,,,,salto:LTO,,,,,,,,,salto:PEL,,,,,,,,,salto:RAbsAnkleAngle,,,salto:RAnkleAngles,,,salto:RAnkleForce,,,salto:RAnkleMoment,,,salto:RAnklePower,,,salto:RFE,,,,,,,,,salto:RFO,,,,,,,,,salto:RFootProgressAngles,,,salto:RGroundReactionForce,,,salto:RGroundReactionMoment,,,salto:RHipAngles,,,salto:RHipForce,,,salto:RHipMoment,,,salto:RHipPower,,,salto:RKneeAngles,,,salto:RKneeForce,,,salto:RKneeMoment,,,salto:RKneePower,,,salto:RNormalisedGRF,,,salto:RPelvisAngles,,,salto:RTI,,,,,,,,,salto:RTO,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ
,,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,,,,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,,,,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm
686,0,-15.2997,0,0,-15.9234,-6.07431,16.5223,,,,,,,,,,18.4184,-13.9563,108.277,434.388,369.594,673.37,409.457,409.457,409.457,74.5949,-52.7138,102.434,333,493.164,173.09,209.819,209.819,209.819,-117.689,16.8904,119.929,,,,,,,35.4525,-2.63495,-10.8447,,,,,,,,,,18.2531,-3.6449,-23.9572,,,,,,,,,,,,,-1.88117,-15.8114,-98.6097,4.1615,1.31074,133.429,407.861,372.561,222.601,431.035,431.035,431.035,74.5949,-52.7138,102.434,302.008,553.773,156.854,69.9396,69.9396,69.9396,-13.2866,12.2039,97.6456,622.918,258.547,1057.76,296.532,296.532,296.532,-30.0585,0,0,-30.0917,-0.456656,-0.854819,,,,,,,,,,2.7177,-9.04924,108.015,788.069,333.121,662.455,397.455,397.455,397.455,35.3185,-58.0521,60.6427,887.095,472.656,142.708,219.1,219.1,219.1,-40.6978,-46.4637,55.166,,,,,,,23.0974,-4.23801,10.1593,,,,,,,,,,4.62818,0.346938,-40.4982,,,,,,,,,,,,,-1.88117,15.8114,98.6097,0.396214,-5.28584,67.6573,817.673,356.494,222.318,420.939,420.938,420.939,35.3185,-58.0521,60.6427,914.446,532.606,111.067,73.0334,73.0335,73.0334
687,0,-15.1411,0,0,-15.7497,-6.03487,16.3848,,,,,,,,,,18.446,-13.8297,108.005,434.364,370.496,669.154,409.37,409.37,409.37,74.737,-52.7387,102.208,333.009,494.238,169.527,209.819,209.819,209.819,-117.41,16.78,119.827,,,,,,,35.4224,-2.73099,-10.6482,,,,,,,,,,18.2375,-3.48818,-24.0082,,,,,,,,,,,,,-1.87648,-15.822,-98.4959,4.15992,1.31777,133.238,407.848,373.472,218.615,430.745,430.745,430.745,74.737,-52.7387,102.208,302.054,554.908,153.482,69.9396,69.9396,69.9395,-13.2986,12.1994,97.5325,623.17,259.426,1053.66,296.532,296.532,296.532,-29.5634,0,0,-29.603,-0.395957,-1.11655,,,,,,,,,,2.86124,-9.21084,107.751,788.42,335.035,658.518,397.505,397.505,397.505,35.4048,-58.2891,60.7267,886.481,472.988,139.718,219.1,219.1,219.1,-40.961,-46.3782,55.3394,,,,,,,23.2967,-4.23132,10.0106,,,,,,,,,,5.00425,0.568436,-39.9444,,,,,,,,,,,,,-1.87648,15.822,98.4959,0.255458,-5.02362,67.9521,817.005,356.52,218.771,420.42,420.42,420.42,35.4048,-58.2891,60.7266,913.831,533.057,108.335,73.0334,73.0334,73.0334
688,0,-14.9198,0,0,-15.5106,-5.98542,16.2113,,,,,,,,,,18.4903,-13.7046,107.716,434.31,371.606,664.371,409.263,409.263,409.263,74.9182,-52.7687,101.933,333.074,495.402,165.574,209.819,209.819,209.819,-117.055,16.63,119.707,,,,,,,35.4063,-2.83917,-10.4478,,,,,,,,,,18.258,-3.31658,-24.0301,,,,,,,,,,,,,-1.86846,-15.8353,-98.3667,4.13384,1.34041,133.006,407.895,374.443,214.13,430.388,430.388,430.388,74.9182,-52.7687,101.933,302.159,556.142,149.767,69.9396,69.9396,69.9396,-13.3109,12.1974,97.4043,623.448,260.402,1048.94,296.532,296.532,296.532,-28.9612,0,0,-29.0075,-0.322993,-1.43049,,,,,,,,,,3.03026,-9.40979,107.455,788.839,337.273,654.032,397.548,397.548,397.548,35.513,-58.5767,60.8118,885.778,473.321,136.423,219.1,219.1,219.1,-41.2993,-46.244,55.5451,,,,,,,23.5379,-4.23087,9.84964,,,,,,,,,,5.46339,0.834141,-39.3015,,,,,,,,,,,,,-1.86846,15.8353,98.3667,0.0857457,-4.70686,68.2982,816.225,356.491,214.789,419.799,419.799,419.799,35.513,-58.5767,60.8118,913.132,533.532,105.358,73.0334,73.0334,73.0334
689,0,-14.626,0,0,-15.196,-5.92486,15.9978,,,,,,,,,,18.5545,-13.5864,107.416,434.221,372.942,659.033,409.133,409.133,409.133,75.143,-52.8043,101.606,333.208,496.639,161.26,209.819,209.819,209.819,-116.614,16.4345,119.57,,,,,,,35.4087,-2.95903,-10.2498,,,,,,,,,,18.3242,-3.1322,-24.0136,,,,,,,,,,,,,-1.85642,-15.8515,-98.2223,4.07711,1.3823,132.727,408.019,375.457,209.168,429.957,429.957,429.957,75.143,-52.8043,101.606,302.337,557.459,145.746,69.9396,69.9396,69.9396,-13.3233,12.1987,97.2614,623.75,261.466,1043.6,296.532,296.532,296.532,-28.2432,0,0,-28.2966,-0.236938,-1.8,,,,,,,,,,3.22595,-9.64968,107.129,789.33,339.848,649.002,397.578,397.578,397.578,35.6453,-58.919,60.8952,884.984,473.643,132.853,219.1,219.1,219.1,-41.7217,-46.0517,55.7846,,,,,,,23.8244,-4.23849,9.67877,,,,,,,,,,6.01283,1.1471,-38.5677,,,,,,,,,,,,,-1.85642,15.8515,98.2223,-0.115026,-4.33146,68.6973,815.33,356.391,210.393,419.067,419.067,419.067,35.6453,-58.9189,60.8952,912.35,534.018,102.172,73.0334,73.0334,73.0334
690,0,-14.25,0,0,-14.7963,-5.85217,15.7405,,,,,,,,,,18.6421,-13.481,107.111,434.088,374.523,653.167,408.979,408.979,408.979,75.4156,-52.8455,101.223,333.425,497.928,156.632,209.819,209.819,209.819,-116.079,16.1877,119.416,,,,,,,35.435,-3.08978,-10.0616,,,,,,,,,,18.4468,-2.9379,-23.9491,,,,,,,,,,,,,-1.83963,-15.871,-98.0634,3.98327,1.44728,132.4,408.236,376.494,203.762,429.446,429.446,429.446,75.4156,-52.8455,101.223,302.599,558.839,141.467,69.9396,69.9396,69.9396,-13.3352,12.2041,97.1045,624.074,262.608,1037.65,296.532,296.532,296.532,-27.4025,0,0,-27.4629,-0.137172,-2.22757,,,,,,,,,,3.4491,-9.93389,106.776,789.898,342.765,643.446,397.593,397.593,397.593,35.8038,-59.3186,60.9733,884.102,473.941,129.05,219.1,219.1,219.1,-42.2367,-45.7917,56.0586,,,,,,,24.1591,-4.25622,9.5012,,,,,,,,,,6.65908,1.50988,-37.7429,,,,,,,,,,,,,-1.83963,15.871,98.0634,-0.348593,-3.89386,69.1501,814.32,356.207,205.616,418.22,418.22,418.22,35.8038,-59.3186,60.9733,911.49,534.503,98.824,73.0334,73.0335,73.0334
691,0,-13.7827,0,0,-14.3024,-5.76643,15.4359,,,,,,,,,,18.7566,-13.395,106.809,433.905,376.368,646.809,408.8,408.8,408.8,75.7396,-52.8923,100.782,333.739,499.247,151.742,209.819,209.819,209.819,-115.442,15.8841,119.244,,,,,,,35.4906,-3.23036,-9.89113,,,,,,,,,,18.6367,-2.73723,-23.8271,,,,,,,,,,,,,-1.8173,-15.8939,-97.891,3.84575,1.53918,132.022,408.56,377.53,197.959,428.852,428.852,428.852,75.7396,-52.8923,100.782,302.958,560.257,136.988,69.9396,69.9396,69.9395,-13.3462,12.2145,96.9348,624.415,263.814,1031.1,296.532,296.532,296.532,-26.4335,0,0,-26.5007,-0.0233187,-2.7146,,,,,,,,,,3.70017,-10.2656,106.398,790.545,346.027,637.393,397.588,397.588,397.588,35.99,-59.7774,61.0419,883.137,474.201,125.066,219.1,219.1,219.1,-42.8517,-45.4547,56.367,,,,,,,24.5447,-4.28621,9.32072,,,,,,,,,,7.40784,1.9245,-36.8292,,,,,,,,,,,,,-1.8173,15.8939,97.891,-0.616261,-3.39123,69.6558,813.195,355.925,200.501,417.254,417.254,417.254,35.99,-59.7774,61.0419,910.556,534.972,95.368,73.0334,73.0334,73.0334
692,0,-13.2162,0,0,-13.7066,-5.66683,15.0808,,,,,,,,,,18.9017,-13.3357,106.52,433.665,378.492,640.008,408.594,408.594,408.594,76.118,-52.9444,100.284,334.159,500.568,146.652,209.819,209.819,209.819,-114.698,15.5188,119.058,,,,,,,35.5813,-3.37946,-9.74702,,,,,,,,,,18.905,-2.5344,-23.6385,,,,,,,,,,,,,-1.78863,-15.9204,-97.7062,3.65812,1.66171,131.591,409.008,378.541,191.816,428.171,428.171,428.171,76.118,-52.9444,100.284,303.424,561.688,132.373,69.9396,69.9396,69.9396,-13.3557,12.2309,96.7534,624.767,265.068,1023.99,296.532,296.532,296.532,-25.3333,0,0,-25.4066,0.104707,-3.26123,,,,,,,,,,3.97921,-10.6477,106.001,791.273,349.631,630.882,397.557,397.557,397.557,36.2051,-60.2956,61.0964,882.094,474.409,120.954,219.1,219.1,219.1,-43.5727,-45.0315,56.7084,,,,,,,24.9834,-4.33067,9.14168,,,,,,,,,,8.26383,2.39246,-35.8304,,,,,,,,,,,,,-1.78863,15.9204,97.7062,-0.918858,-2.82148,70.2123,811.96,355.533,195.1,416.168,416.168,416.168,36.2051,-60.2956,61.0964,909.557,535.41,91.8605,73.0334,73.0335,73.0334
693,0,-12.544,0,0,-13.0025,-5.55275,14.6727,,,,,,,,,,19.0809,-13.3107,106.25,433.359,380.909,632.822,408.36,408.361,408.36,76.5528,-53.0011,99.7294,334.697,501.867,141.429,209.819,209.819,209.819,-113.844,15.088,118.859,,,,,,,35.713,-3.53563,-9.63797,,,,,,,,,,19.2627,-2.33425,-23.3749,,,,,,,,,,,,,-1.75283,-15.9508,-97.5107,3.41428,1.81831,131.107,409.592,379.505,185.395,427.402,427.402,427.402,76.5528,-53.0011,99.7294,304.004,563.102,127.689,69.9396,69.9396,69.9396,-13.363,12.2544,96.562,625.126,266.352,1016.34,296.532,296.532,296.532,-24.101,0,0,-24.1794,0.246672,-3.86625,,,,,,,,,,4.28597,-11.0828,105.588,792.085,353.572,623.96,397.498,397.498,397.497,36.4495,-60.8719,61.1317,880.982,474.551,116.772,219.1,219.1,219.1,-44.4036,-44.5139,57.0804,,,,,,,25.4771,-4.39187,8.96885,,,,,,,,,,9.23076,2.91469,-34.7523,,,,,,,,,,,,,-1.75283,15.9508,97.5107,-1.25671,-2.18336,70.8159,810.619,355.023,189.471,414.962,414.962,414.962,36.4495,-60.8719,61.1317,908.504,535.802,88.3594,73.0334,73.0335,73.0335
694,0,-11.7614,0,0,-12.1858,-5.42373,14.2098,,,,,,,,,,19.2977,-13.3276,106.009,432.981,383.634,625.312,408.101,408.101,408.101,77.0445,-53.0615,99.1214,335.358,503.116,136.141,209.819,209.819,209.819,-112.878,14.5889,118.651,,,,,,,35.8916,-3.69728,-9.57262,,,,,,,,,,19.7205,-2.14212,-23.0296,,,,,,,,,,,,,-1.70906,-15.9852,-97.306,3.10875,2.01202,130.57,410.324,380.4,178.768,426.546,426.546,426.546,77.0445,-53.0615,99.1215,304.703,564.472,123.005,69.9396,69.9396,69.9396,-13.3676,12.2857,96.3624,625.485,267.65,1008.2,296.532,296.532,296.532,-22.7384,0,0,-22.8205,0.401995,-4.52692,,,,,,,,,,4.61986,-11.5732,105.166,792.98,357.839,616.679,397.404,397.404,397.404,36.723,-61.5034,61.1428,879.81,474.615,112.579,219.1,219.1,219.1,-45.3461,-43.8954,57.4794,,,,,,,26.0272,-4.47202,8.80732,,,,,,,,,,10.3111,3.49154,-33.6026,,,,,,,,,,,,,-1.70906,15.9852,97.306,-1.62958,-1.47658,71.4615,809.182,354.388,183.676,413.639,413.639,413.639,36.723,-61.5034,61.1428,907.407,536.134,84.921,73.0334,73.0334,73.0334
