Model Outputs
250
,,salto:LAbsAnkleAngle,,,salto:LAnkleAngles,,,salto:LAnkleForce,,,salto:LAnkleMoment,,,salto:LAnklePower,,,salto:LFE,,,,,,,,,salto:LFO,,,,,,,,,salto:LFootProgressAngles,,,salto:LGroundReactionForce,,,salto:LGroundReactionMoment,,,salto:LHipAngles,,,salto:LHipForce,,,salto:LHipMoment,,,salto:LHipPower,,,salto:LKneeAngles,,,salto:LKneeForce,,,salto:LKneeMoment,,,salto:LKneePower,,,salto:LNormalisedGRF,,,salto:LPelvisAngles,,,salto:LTI,,,,,,,,,salto:LTO,,,,,,,,,salto:PEL,,,,,,,,,salto:RAbsAnkleAngle,,,salto:RAnkleAngles,,,salto:RAnkleForce,,,salto:RAnkleMoment,,,salto:RAnklePower,,,salto:RFE,,,,,,,,,salto:RFO,,,,,,,,,salto:RFootProgressAngles,,,salto:RHipAngles,,,salto:RHipForce,,,salto:RHipMoment,,,salto:RHipPower,,,salto:RKneeAngles,,,salto:RKneeForce,,,salto:RKneeMoment,,,salto:RKneePower,,,salto:RPelvisAngles,,,salto:RTI,,,,,,,,,salto:RTO,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ
,,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,,,,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm
1753,0,-19.7058,0,0,-20.4919,-5.81415,15.5966,,,,,,,,,,13.9244,-18.0165,100.865,467.349,287.65,858.301,401.984,401.984,401.984,67.7751,-60.0165,92.9314,379.333,476.351,373.036,209.592,209.592,209.592,-102.059,-11.4562,-165.067,,,,,,,31.9401,-6.82516,-17.7385,,,,,,,,,,11.4867,-8.06333,-18.8529,,,,,,,,,,,,,-12.5989,3.14638,-171.353,9.54319,-4.3396,120.698,427.985,341.766,418.23,425.12,425.12,425.12,67.7751,-60.0165,92.9314,361.329,542.37,358.933,69.864,69.8641,69.8641,-12.6337,6.35823,81.3267,610.616,130.851,1248.99,296.532,296.532,296.532,35.1769,0,0,36.9972,3.37489,-16.9335,,,,,,,,,,8.9977,-4.40237,108.205,728.917,163.338,867.858,398.11,398.11,398.11,45.5799,-67.6535,52.3592,713.911,13.1252,553.185,216.518,216.518,216.518,-103.078,-8.04956,-155.879,19.0771,9.90594,25.2862,,,,,,,,,,49.3105,24.7672,-14.9759,,,,,,,,,,-12.5989,-3.14638,171.353,-25.8714,44.946,79.5088,640.147,-115.488,599.473,376.956,376.956,376.956,45.5799,-67.6535,52.3592,743.405,77.4404,538.23,72.1726,72.1727,72.1727
1754,0,-19.691,0,0,-20.4768,-5.81509,15.5999,,,,,,,,,,13.9141,-18.0987,100.959,467.181,288.895,857.858,402.088,402.088,402.088,67.7035,-60.0066,92.9573,379.588,477.137,372.326,209.592,209.592,209.592,-102.114,-11.4881,-165.097,,,,,,,32.051,-6.79696,-17.832,,,,,,,,,,11.5772,-8.09587,-18.7473,,,,,,,,,,,,,-12.6602,3.14188,-171.356,9.46113,-4.30351,120.683,428.159,342.569,417.66,425.166,425.166,425.166,67.7035,-60.0066,92.9573,361.619,543.15,358.158,69.8641,69.864,69.8641,-12.6809,6.40617,81.327,610.215,131.778,1248.54,296.532,296.532,296.532,35.1135,0,0,36.9163,3.36217,-16.8836,,,,,,,,,,8.9543,-4.45612,108.136,728.955,164.411,867.446,398.038,398.038,398.038,45.4064,-67.537,52.5122,713.972,13.4101,553.067,216.518,216.518,216.518,-103.296,-8.0236,-155.898,19.1656,9.84799,25.2072,,,,,,,,,,49.5025,24.7934,-14.9082,,,,,,,,,,-12.6602,-3.14188,171.356,-26.0124,45.033,79.4076,640.246,-115.063,599.858,376.865,376.865,376.865,45.4064,-67.537,52.5122,743.444,77.6842,537.859,72.1727,72.1727,72.1727
1755,0,-19.6746,0,0,-20.4601,-5.81662,15.6053,,,,,,,,,,13.9002,-18.1925,101.067,466.987,290.314,857.341,402.206,402.206,402.206,67.6198,-59.9968,92.9865,379.884,478.036,371.5,209.592,209.592,209.592,-102.176,-11.5255,-165.132,,,,,,,32.1778,-6.76473,-17.942,,,,,,,,,,11.6786,-8.13413,-18.6256,,,,,,,,,,,,,-12.7316,3.13631,-171.357,9.36745,-4.26282,120.666,428.357,343.487,416.993,425.223,425.223,425.223,67.6198,-59.9969,92.9865,361.957,544.044,357.257,69.8641,69.864,69.864,-12.7357,6.46189,81.3251,609.748,132.836,1248.01,296.532,296.532,296.532,35.0293,0,0,36.8108,3.34602,-16.82,,,,,,,,,,8.90552,-4.5272,108.057,729.019,165.678,866.979,397.952,397.952,397.952,45.1977,-67.3923,52.6937,714.047,13.7542,552.926,216.518,216.518,216.518,-103.562,-7.99579,-155.922,19.2752,9.77873,25.1184,,,,,,,,,,49.7327,24.8278,-14.8312,,,,,,,,,,-12.7316,-3.13631,171.357,-26.177,45.1326,79.2841,640.372,-114.538,600.324,376.755,376.755,376.755,45.1977,-67.3923,52.6937,743.492,77.973,537.413,72.1727,72.1727,72.1727
1756,0,-19.6566,0,0,-20.4421,-5.81886,15.6131,,,,,,,,,,13.8823,-18.2979,101.191,466.767,291.906,856.746,402.337,402.337,402.337,67.5236,-59.9877,93.0189,380.221,479.048,370.552,209.592,209.592,209.592,-102.246,-11.5684,-165.175,,,,,,,32.3206,-6.72851,-18.0694,,,,,,,,,,11.7904,-8.17836,-18.4876,,,,,,,,,,,,,-12.8132,3.12957,-171.355,9.26223,-4.21772,120.647,428.578,344.52,416.227,425.293,425.293,425.293,67.5236,-59.9877,93.0189,362.344,545.052,356.227,69.864,69.864,69.8641,-12.7983,6.52559,81.3204,609.212,134.025,1247.42,296.532,296.532,296.532,34.9212,0,0,36.6773,3.32604,-16.7409,,,,,,,,,,8.85164,-4.61811,107.967,729.116,167.148,866.458,397.853,397.853,397.853,44.9511,-67.2165,52.9054,714.14,14.1622,552.759,216.518,216.518,216.518,-103.879,-7.96665,-155.952,19.4083,9.69741,25.02,,,,,,,,,,50.0039,24.8715,-14.7449,,,,,,,,,,-12.8132,-3.12957,171.355,-26.3659,45.2449,79.1363,640.526,-113.902,600.877,376.622,376.622,376.622,44.9511,-67.2165,52.9054,743.551,78.3089,536.883,72.1727,72.1727,72.1727
1757,0,-19.6374,0,0,-20.423,-5.82194,15.6238,,,,,,,,,,13.8599,-18.4144,101.328,466.52,293.666,856.073,402.481,402.481,402.481,67.4146,-59.9796,93.0543,380.6,480.171,369.482,209.592,209.592,209.592,-102.324,-11.617,-165.224,,,,,,,32.4788,-6.68842,-18.2149,,,,,,,,,,11.9118,-8.22871,-18.3332,,,,,,,,,,,,,-12.9054,3.12155,-171.351,9.14576,-4.1685,120.625,428.823,345.664,415.357,425.378,425.378,425.378,67.4146,-59.9796,93.0543,362.782,546.17,355.064,69.864,69.864,69.864,-12.8687,6.59738,81.3121,608.606,135.34,1246.74,296.532,296.532,296.532,34.7863,0,0,36.5127,3.30183,-16.6449,,,,,,,,,,8.79306,-4.7314,107.866,729.251,168.829,865.884,397.739,397.739,397.739,44.6645,-67.0066,53.1486,714.251,14.6382,552.565,216.518,216.518,216.518,-104.25,-7.93685,-155.987,19.5669,9.60342,24.9129,,,,,,,,,,50.3185,24.9258,-14.6495,,,,,,,,,,-12.9054,-3.12155,171.351,-26.5796,45.3696,78.9624,640.714,-113.147,601.523,376.465,376.465,376.465,44.6644,-67.0066,53.1486,743.621,78.6941,536.266,72.1727,72.1727,72.1727
1758,0,-19.6171,0,0,-20.4032,-5.82597,15.6379,,,,,,,,,,13.8324,-18.5417,101.481,466.248,295.585,855.32,402.638,402.638,402.638,67.2926,-59.9731,93.0925,381.021,481.402,368.288,209.592,209.592,209.592,-102.409,-11.6716,-165.28,,,,,,,32.6521,-6.64467,-18.3787,,,,,,,,,,12.0415,-8.28526,-18.163,,,,,,,,,,,,,-13.0079,3.11219,-171.343,9.01855,-4.11557,120.601,429.09,346.915,414.383,425.478,425.478,425.478,67.2926,-59.9731,93.0925,363.269,547.396,353.768,69.864,69.864,69.8641,-12.947,6.67721,81.2996,607.929,136.776,1245.99,296.532,296.532,296.532,34.6216,0,0,36.3136,3.27304,-16.5302,,,,,,,,,,8.73032,-4.86966,107.755,729.431,170.728,865.262,397.611,397.611,397.611,44.3358,-66.7601,53.4239,714.382,15.1863,552.343,216.518,216.518,216.518,-104.68,-7.90724,-156.029,19.7532,9.49625,24.7979,,,,,,,,,,50.6787,24.9916,-14.5454,,,,,,,,,,-13.0079,-3.11219,171.343,-26.8183,45.5062,78.7607,640.937,-112.261,602.267,376.284,376.284,376.284,44.3358,-66.7601,53.4239,743.704,79.1299,535.558,72.1727,72.1727,72.1727
1759,0,-19.5961,0,0,-20.3832,-5.8311,15.6558,,,,,,,,,,13.7995,-18.6789,101.647,465.951,297.652,854.487,402.806,402.806,402.806,67.1576,-59.9686,93.1335,381.483,482.733,366.971,209.592,209.592,209.592,-102.501,-11.7321,-165.344,,,,,,,32.8394,-6.59757,-18.5612,,,,,,,,,,12.1783,-8.348,-17.9776,,,,,,,,,,,,,-13.1209,3.10141,-171.33,8.88128,-4.05942,120.575,429.377,348.268,413.305,425.596,425.596,425.596,67.1576,-59.9686,93.1335,363.806,548.723,352.34,69.8641,69.864,69.8641,-13.033,6.76496,81.2821,607.182,138.325,1245.16,296.532,296.532,296.532,34.4239,0,0,36.077,3.23931,-16.3955,,,,,,,,,,8.66408,-5.03556,107.633,729.661,172.848,864.597,397.468,397.468,397.468,43.9634,-66.4743,53.7318,714.535,15.8099,552.093,216.518,216.518,216.518,-105.17,-7.87881,-156.078,19.9692,9.37551,24.6763,,,,,,,,,,51.0864,25.0703,-14.4328,,,,,,,,,,-13.1209,-3.10141,171.33,-27.0818,45.6542,78.5299,641.198,-111.237,603.115,376.075,376.075,376.075,43.9634,-66.4743,53.7318,743.8,79.6173,534.754,72.1727,72.1726,72.1727
1760,0,-19.575,0,0,-20.3633,-5.83745,15.6779,,,,,,,,,,13.7605,-18.8252,101.828,465.63,299.854,853.574,402.984,402.984,402.984,67.0097,-59.9667,93.1772,381.984,484.158,365.53,209.592,209.592,209.592,-102.599,-11.7987,-165.416,,,,,,,33.0398,-6.54752,-18.7624,,,,,,,,,,12.3207,-8.41682,-17.7777,,,,,,,,,,,,,-13.244,3.08919,-171.312,8.73474,-4.00065,120.547,429.683,349.714,412.121,425.732,425.732,425.732,67.0097,-59.9667,93.1771,364.392,550.143,350.781,69.8641,69.864,69.864,-13.1266,6.86042,81.259,606.367,139.978,1244.25,296.532,296.532,296.532,34.1907,0,0,35.8001,3.20033,-16.2394,,,,,,,,,,8.59512,-5.23177,107.502,729.948,175.192,863.894,397.31,397.31,397.31,43.5461,-66.1469,54.0722,714.711,16.5126,551.816,216.518,216.518,216.518,-105.724,-7.85271,-156.134,20.2169,9.24092,24.5492,,,,,,,,,,51.5435,25.1629,-14.312,,,,,,,,,,-13.244,-3.08919,171.312,-27.3695,45.8127,78.2687,641.5,-110.064,604.071,375.84,375.84,375.84,43.5461,-66.147,54.0722,743.911,80.157,533.855,72.1727,72.1727,72.1727
1761,0,-19.554,0,0,-20.3442,-5.84515,15.7046,,,,,,,,,,13.7153,-18.9797,102.021,465.287,302.177,852.58,403.171,403.171,403.171,66.8491,-59.9678,93.2234,382.523,485.669,363.967,209.592,209.592,209.592,-102.704,-11.8716,-165.495,,,,,,,33.2523,-6.49498,-18.9821,,,,,,,,,,12.4672,-8.49154,-17.5645,,,,,,,,,,,,,-13.377,3.07551,-171.289,8.57982,-3.93989,120.518,430.006,351.245,410.833,425.887,425.887,425.887,66.8491,-59.9678,93.2234,365.024,551.65,349.093,69.8641,69.864,69.8641,-13.2276,6.96326,81.2296,605.486,141.724,1243.28,296.532,296.532,296.532,33.9192,0,0,35.4803,3.15584,-16.0607,,,,,,,,,,8.52424,-5.46089,107.363,730.299,177.763,863.16,397.137,397.137,397.137,43.0829,-65.7758,54.4445,714.911,17.2975,551.511,216.518,216.518,216.518,-106.343,-7.83024,-156.198,20.4983,9.09231,24.4183,,,,,,,,,,52.0516,25.2706,-14.1832,,,,,,,,,,-13.377,-3.07551,171.289,-27.6809,45.9809,77.976,641.846,-108.733,605.138,375.576,375.576,375.576,43.0829,-65.7758,54.4445,744.038,80.7495,532.857,72.1727,72.1727,72.1727
