Model Outputs
250
,,salto:LAbsAnkleAngle,,,salto:LAnkleAngles,,,salto:LAnkleForce,,,salto:LAnkleMoment,,,salto:LAnklePower,,,salto:LFE,,,,,,,,,salto:LFO,,,,,,,,,salto:LFootProgressAngles,,,salto:LGroundReactionForce,,,salto:LGroundReactionMoment,,,salto:LHipAngles,,,salto:LHipForce,,,salto:LHipMoment,,,salto:LHipPower,,,salto:LKneeAngles,,,salto:LKneeForce,,,salto:LKneeMoment,,,salto:LKneePower,,,salto:LNormalisedGRF,,,salto:LPelvisAngles,,,salto:LTI,,,,,,,,,salto:LTO,,,,,,,,,salto:PEL,,,,,,,,,salto:RAbsAnkleAngle,,,salto:RAnkleAngles,,,salto:RAnkleForce,,,salto:RAnkleMoment,,,salto:RAnklePower,,,salto:RFE,,,,,,,,,salto:RFO,,,,,,,,,salto:RFootProgressAngles,,,salto:RGroundReactionForce,,,salto:RGroundReactionMoment,,,salto:RHipAngles,,,salto:RHipForce,,,salto:RHipMoment,,,salto:RHipPower,,,salto:RKneeAngles,,,salto:RKneeForce,,,salto:RKneeMoment,,,salto:RKneePower,,,salto:RNormalisedGRF,,,salto:RPelvisAngles,,,salto:RTI,,,,,,,,,salto:RTO,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ
,,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,,,,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,,,,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm
412,0,7.24089,0,0,9.1107,-11.5479,37.2933,-0.143262,0.00841128,0.0104228,-14.8384,-8.57459e-17,2.99868,0,0,-0.0088158,-0.972699,0.903014,127.251,459.531,-124.375,1010.84,400.689,400.689,400.689,79.9898,-66.6858,75.399,381.726,-14.8719,569.875,209.234,209.234,209.234,-70.8899,-19.1838,101.416,,,,,,,6.51661,-0.415107,-33.7437,-0.0456707,-0.0584614,1.59489,-9.61839,-4.6031,3.21614,0,0,0.00403966,-0.332684,-6.21847,-11.7467,0.00836886,0.0537682,0.600532,14.081,9.96586,4.52484,0,0,0.000246507,,,,-1.19976,-7.4791,-93.5506,3.75563,7.62329,138.776,422.916,-158.838,573.883,419.827,419.827,419.827,79.9898,-66.6858,75.399,368.701,53.4885,574.42,69.7445,69.7446,69.7446,-6.7142,5.1846,93.3227,604.832,-108.274,1413.37,296.532,296.532,296.532,5.70649,0,0,5.75241,-2.36914,7.20812,-0.14182,-0.00837192,0.00706669,-15.4688,-1.00028e-15,-0.168178,0,0,0.00313345,-3.04112,7.48079,107.313,741.207,-145.181,1025.7,392.448,392.448,392.448,61.0431,-78.711,62.0975,819.05,-24.1876,573.779,218.367,218.367,218.367,-104.803,11.2947,78.4359,,,,,,,0.914984,2.83397,14.1481,-0.318268,0.0364898,1.55313,94.4517,7.50756,0.772263,0,0,-0.0148082,-1.13891,-6.54965,-36.4997,-0.0527395,-0.0993639,0.593904,9.63719,15.2657,0.275988,0,0,-0.00380356,,,,-1.19976,7.4791,93.5506,-5.80081,-1.37755,71.1394,774.161,-173.859,579.203,428.633,428.633,428.633,61.0431,-78.711,62.0975,833.157,47.1242,577.512,72.7889,72.7889,72.7889
413,0,7.14597,0,0,9.01263,-11.6151,37.4673,-0.144513,0.00942248,0.00976197,-15.2184,-6.22771e-17,3.3638,0,0,-0.00894747,-0.945571,0.892947,127.365,459.806,-124.144,1010.85,400.676,400.676,400.676,79.8242,-66.7096,75.4693,381.919,-14.7198,569.588,209.234,209.234,209.234,-71.3142,-18.846,101.323,,,,,,,6.55288,-0.417953,-33.8678,-0.0349037,-0.061431,1.59727,-14.4199,-6.16572,3.62883,0,0,0.00659148,-0.329285,-6.25229,-11.7292,0.0122099,0.0525729,0.601624,14.1376,10.4745,4.951,0,0,0.000241052,,,,-1.18856,-7.49747,-93.5394,3.79716,7.65771,138.871,422.934,-158.729,573.902,419.848,419.848,419.848,79.8242,-66.7096,75.4693,368.967,53.6639,573.999,69.7446,69.7446,69.7446,-6.71949,5.20737,93.3113,605.215,-108.196,1413.34,296.532,296.532,296.532,5.7456,0,0,5.78798,-2.29653,6.8993,-0.141699,-0.00856418,0.00722003,-15.4225,-9.95389e-16,-0.0981518,0,0,0.00302564,-3.00788,7.48125,107.463,741.498,-145.015,1025.63,392.455,392.455,392.455,61.0018,-78.7201,62.0848,819.041,-24.4093,573.768,218.367,218.367,218.367,-104.696,11.1791,78.4054,,,,,,,0.950207,2.83448,14.3078,-0.319571,0.0409498,1.55269,94.5682,6.19266,0.802323,0,0,-0.0141195,-1.07182,-6.49954,-36.3744,-0.0543755,-0.0981903,0.593893,9.56432,15.2062,0.331742,0,0,-0.00390062,,,,-1.18856,7.49747,93.5394,-5.81694,-1.29277,71.4161,774.059,-174.052,579.226,428.533,428.533,428.533,61.0018,-78.7201,62.0848,833.192,46.8948,577.484,72.7889,72.7889,72.7889
414,0,7.05159,0,0,8.91396,-11.6783,37.631,-0.145678,0.0101578,0.00906012,-15.5795,-3.37888e-17,3.6558,0,0,-0.00893726,-0.917588,0.88126,127.481,460.089,-123.904,1010.86,400.666,400.666,400.666,79.667,-66.7259,75.5428,382.094,-14.5726,569.305,209.234,209.234,209.234,-71.7527,-18.4903,101.238,,,,,,,6.59189,-0.419563,-33.9951,-0.022482,-0.0651742,1.59944,-19.8126,-8.22717,3.97532,0,0,0.00961953,-0.324834,-6.28813,-11.7075,0.0164777,0.0507832,0.602652,14.093,10.913,5.30315,0,0,0.000236848,,,,-1.17606,-7.51726,-93.5273,3.83893,7.69359,138.965,422.956,-158.618,573.922,419.869,419.869,419.869,79.667,-66.7259,75.5428,369.205,53.8321,573.583,69.7445,69.7446,69.7446,-6.72485,5.23223,93.2991,605.606,-108.121,1413.32,296.532,296.532,296.532,5.78188,0,0,5.82086,-2.22494,6.59435,-0.141568,-0.00873555,0.00728071,-15.3779,-9.96642e-16,-0.0290058,0,0,0.00290419,-2.97686,7.48438,107.623,741.804,-144.875,1025.56,392.46,392.46,392.46,60.9644,-78.7257,62.072,819.03,-24.63,573.756,218.367,218.367,218.367,-104.592,11.0695,78.3778,,,,,,,0.98369,2.83298,14.4789,-0.319865,0.0455485,1.55222,94.3619,4.84705,0.839151,0,0,-0.0134316,-1.01026,-6.44935,-36.26,-0.0557769,-0.0967762,0.593813,9.42075,15.1364,0.38708,0,0,-0.00395906,,,,-1.17606,7.51726,93.5273,-5.82928,-1.20882,71.6921,773.964,-174.246,579.25,428.433,428.433,428.433,60.9644,-78.7256,62.072,833.221,46.6671,577.454,72.7889,72.7889,72.7889
415,0,6.95894,0,0,8.81597,-11.7367,37.7824,-0.146753,0.0106107,0.00831537,-15.9202,-6.54861e-19,3.87287,0,0,-0.00877755,-0.888375,0.867357,127.599,460.38,-123.651,1010.87,400.66,400.66,400.66,79.52,-66.7338,75.6187,382.248,-14.4314,569.029,209.234,209.234,209.234,-72.2024,-18.118,101.163,,,,,,,6.63432,-0.419901,-34.1256,-0.0084624,-0.0696676,1.60139,-25.7446,-10.7821,4.25406,0,0,0.0131523,-0.318424,-6.32653,-11.6807,0.0211197,0.048415,0.603616,13.9406,11.2771,5.57897,0,0,0.000241068,,,,-1.16218,-7.53857,-93.5142,3.88046,7.73148,139.055,422.982,-158.506,573.944,419.89,419.89,419.89,79.52,-66.7338,75.6187,369.41,53.9921,573.174,69.7446,69.7446,69.7446,-6.73029,5.25933,93.2861,606.006,-108.05,1413.3,296.532,296.532,296.532,5.81516,0,0,5.85089,-2.15438,6.29339,-0.141432,-0.00887811,0.00725568,-15.336,-1.00428e-15,0.0367128,0,0,0.00276961,-2.94803,7.49021,107.794,742.125,-144.761,1025.49,392.463,392.463,392.463,60.9307,-78.7278,62.0591,819.017,-24.8495,573.743,218.367,218.367,218.367,-104.489,10.9648,78.3528,,,,,,,1.01557,2.82942,14.6611,-0.319056,0.0503111,1.55172,93.8026,3.47471,0.879413,0,0,-0.0127555,-0.954267,-6.39916,-36.1565,-0.0569139,-0.0951079,0.593674,9.2144,15.0539,0.43948,0,0,-0.00398186,,,,-1.16218,7.53857,93.5142,-5.83781,-1.12579,71.9673,773.874,-174.441,579.274,428.333,428.333,428.333,60.9307,-78.7278,62.0591,833.244,46.4412,577.423,72.7889,72.7889,72.7889
416,0,6.86922,0,0,8.71999,-11.7896,37.9199,-0.147738,0.0107823,0.00752486,-16.24,3.60069e-17,4.01546,0,0,-0.0084631,-0.857515,0.850547,127.72,460.677,-123.382,1010.88,400.657,400.657,400.657,79.3845,-66.7322,75.6959,382.38,-14.2968,568.76,209.234,209.234,209.234,-72.6602,-17.7308,101.099,,,,,,,6.68088,-0.418947,-34.2596,0.00705186,-0.0748564,1.60313,-32.142,-13.8091,4.46586,0,0,0.0172094,-0.309034,-6.36809,-11.6476,0.0260632,0.0455067,0.604525,13.6738,11.5652,5.77835,0,0,0.00026298,,,,-1.14686,-7.56151,-93.5004,3.92121,7.77201,139.142,423.012,-158.392,573.967,419.911,419.911,419.91,79.3845,-66.7322,75.6959,369.582,54.1428,572.776,69.7445,69.7446,69.7446,-6.73586,5.28879,93.2722,606.414,-107.983,1413.27,296.532,296.532,296.532,5.84533,0,0,5.87796,-2.08484,5.9964,-0.141295,-0.00898669,0.00715607,-15.298,-1.01848e-15,0.0970708,0,0,0.00262325,-2.92129,7.49866,107.974,742.459,-144.672,1025.43,392.462,392.462,392.462,60.9003,-78.7264,62.046,819.002,-25.0681,573.728,218.367,218.367,218.367,-104.388,10.8643,78.3304,,,,,,,1.04601,2.82377,14.8539,-0.317061,0.0552616,1.55117,92.8652,2.08325,0.920114,0,0,-0.0121015,-0.903809,-6.34906,-36.0637,-0.0577569,-0.0931788,0.593486,8.95713,14.9573,0.487025,0,0,-0.00397357,,,,-1.14686,7.56151,93.5004,-5.84257,-1.04376,72.2413,773.79,-174.637,579.299,428.231,428.232,428.231,60.9003,-78.7264,62.046,833.263,46.2168,577.389,72.7889,72.7889,72.7889
417,0,6.78368,0,0,8.62744,-11.8364,38.0419,-0.148634,0.0106808,0.00668476,-16.5392,7.3714e-17,4.08625,0,0,-0.00799078,-0.824543,0.83009,127.844,460.979,-123.093,1010.89,400.659,400.659,400.659,79.262,-66.7203,75.7734,382.489,-14.1697,568.502,209.234,209.234,209.234,-73.123,-17.3305,101.046,,,,,,,6.73239,-0.416686,-34.3973,0.0239073,-0.0806515,1.6047,-38.9079,-17.2693,4.61399,0,0,0.0217989,-0.295541,-6.41349,-11.607,0.031214,0.0421195,0.605389,13.286,11.7783,5.90347,0,0,0.000313939,,,,-1.13005,-7.58618,-93.4857,3.96059,7.81585,139.224,423.047,-158.279,573.992,419.932,419.932,419.932,79.262,-66.7203,75.7734,369.719,54.2835,572.391,69.7446,69.7446,69.7446,-6.74154,5.32075,93.2575,606.83,-107.921,1413.25,296.532,296.532,296.532,5.87233,0,0,5.90201,-2.01629,5.70324,-0.141166,-0.00905888,0.00699666,-15.2654,-1.04036e-15,0.150799,0,0,0.00246727,-2.89655,7.50964,108.163,742.806,-144.609,1025.36,392.46,392.459,392.459,60.8732,-78.7216,62.0327,818.986,-25.2859,573.711,218.367,218.367,218.367,-104.287,10.7673,78.3103,,,,,,,1.07524,2.81601,15.0568,-0.313819,0.0604229,1.55061,91.5309,0.683033,0.958693,0,0,-0.01148,-0.858781,-6.29909,-35.9811,-0.0582784,-0.0909895,0.593261,8.66413,14.8457,0.528459,0,0,-0.00393989,,,,-1.13005,7.58618,93.4857,-5.84364,-0.962759,72.5141,773.711,-174.834,579.324,428.13,428.13,428.13,60.8732,-78.7216,62.0327,833.278,45.9939,577.353,72.7889,72.7889,72.7889
418,0,6.70359,0,0,8.53978,-11.8765,38.1473,-0.149449,0.0103216,0.00579056,-16.8185,1.09081e-16,4.09011,0,0,-0.00735919,-0.788956,0.805149,127.971,461.285,-122.779,1010.9,400.665,400.665,400.665,79.1535,-66.6974,75.8502,382.576,-14.0507,568.255,209.234,209.234,209.234,-73.5873,-16.9192,101.004,,,,,,,6.7897,-0.41311,-34.539,0.0418996,-0.0869309,1.60616,-45.9231,-21.1072,4.70413,0,0,0.0269137,-0.276736,-6.46348,-11.5575,0.0364577,0.038337,0.60623,12.7701,11.9196,5.95873,0,0,0.000407214,,,,-1.11168,-7.61268,-93.4703,3.99797,7.86374,139.3,423.086,-158.165,574.018,419.954,419.954,419.954,79.1535,-66.6974,75.8502,369.82,54.4133,572.022,69.7445,69.7446,69.7446,-6.7474,5.35534,93.2421,607.254,-107.864,1413.23,296.532,296.532,296.532,5.89617,0,0,5.92305,-1.94867,5.41369,-0.14105,-0.00909482,0.00679504,-15.2395,-1.07084e-15,0.197299,0,0,0.00230457,-2.87371,7.52303,108.362,743.166,-144.571,1025.3,392.454,392.454,392.454,60.849,-78.7137,62.0192,818.969,-25.503,573.693,218.367,218.367,218.367,-104.186,10.6729,78.2924,,,,,,,1.10351,2.8061,15.2691,-0.309287,0.0658168,1.55003,89.7886,-0.713972,0.993098,0,0,-0.0109,-0.819004,-6.2493,-35.908,-0.0584553,-0.0885473,0.593012,8.35293,14.7192,0.563187,0,0,-0.00388726,,,,-1.11168,7.61268,93.4703,-5.84112,-0.882806,72.786,773.638,-175.032,579.35,428.028,428.028,428.028,60.849,-78.7137,62.0192,833.289,45.7721,577.315,72.7889,72.7889,72.7889
419,0,6.63021,0,0,8.45852,-11.9094,38.2347,-0.150189,0.00972655,0.00483751,-17.0793,1.39172e-16,4.03395,0,0,-0.00656817,-0.750243,0.774851,128.102,461.595,-122.435,1010.91,400.678,400.677,400.678,79.06,-66.6629,75.9249,382.639,-13.9406,568.022,209.234,209.234,209.234,-74.0497,-16.499,100.973,,,,,,,6.85373,-0.408211,-34.685,0.0607764,-0.0935456,1.60761,-53.0494,-25.2533,4.74419,0,0,0.0325293,-0.251331,-6.51885,-11.4979,0.0416623,0.0342613,0.607068,12.1195,11.9943,5.95058,0,0,0.0005576,,,,-1.09171,-7.64111,-93.4542,4.03266,7.91647,139.37,423.132,-158.053,574.045,419.977,419.977,419.977,79.0599,-66.6629,75.9249,369.887,54.5316,571.67,69.7446,69.7445,69.7446,-6.75349,5.39267,93.2262,607.685,-107.812,1413.21,296.532,296.532,296.532,5.91688,0,0,5.94112,-1.88189,5.12745,-0.140955,-0.00909697,0.00657052,-15.2217,-1.10877e-15,0.236604,0,0,0.00213861,-2.85265,7.53865,108.568,743.538,-144.556,1025.24,392.446,392.446,392.446,60.8275,-78.7026,62.0056,818.951,-25.7199,573.672,218.367,218.367,218.367,-104.084,10.5805,78.2767,,,,,,,1.13111,2.79402,15.4901,-0.303447,0.0714624,1.54944,87.6359,-2.09539,1.02183,0,0,-0.0103698,-0.784235,-6.19969,-35.8437,-0.0582709,-0.0858656,0.592755,8.04229,14.5785,0.591239,0,0,-0.00382231,,,,-1.09171,7.64111,93.4542,-5.83519,-0.803883,73.0569,773.569,-175.232,579.377,427.925,427.925,427.925,60.8274,-78.7026,62.0056,833.296,45.5512,577.273,72.7889,72.7889,72.7889
420,0,6.56485,0,0,8.38519,-11.9348,38.3033,-0.150863,0.00892336,0.00382134,-17.3233,1.62275e-16,3.92654,0,0,-0.00561835,-0.707867,0.738282,128.237,461.907,-122.055,1010.93,400.696,400.696,400.696,78.9822,-66.6162,75.9963,382.679,-13.8398,567.803,209.234,209.234,209.234,-74.5067,-16.0721,100.955,,,,,,,6.9254,-0.401971,-34.8358,0.0802437,-0.100328,1.60912,-60.1335,-29.6265,4.74404,0,0,0.0386014,-0.21799,-6.58045,-11.4269,0.0466829,0.030008,0.607931,11.328,12.0084,5.88737,0,0,0.000780855,,,,-1.07009,-7.67155,-93.4376,4.06396,7.97486,139.432,423.183,-157.942,574.073,420.002,420.002,420.002,78.9822,-66.6161,75.9964,369.918,54.6378,571.339,69.7446,69.7446,69.7446,-6.75981,5.43288,93.2096,608.122,-107.767,1413.19,296.532,296.532,296.532,5.93456,0,0,5.95631,-1.81589,4.8442,-0.140887,-0.00906962,0.00634295,-15.2132,-1.15072e-15,0.269306,0,0,0.00197327,-2.8332,7.55627,108.781,743.92,-144.564,1025.18,392.436,392.436,392.436,60.8084,-78.6885,61.9921,818.932,-25.9366,573.649,218.367,218.367,218.367,-103.981,10.4895,78.263,,,,,,,1.15836,2.77973,15.7189,-0.296311,0.0773752,1.54887,85.0807,-3.44959,1.04399,0,0,-0.00989634,-0.754176,-6.15025,-35.7873,-0.0577178,-0.0829638,0.592502,7.75095,14.4248,0.613195,0,0,-0.0037515,,,,-1.07009,7.67155,93.4376,-5.82605,-0.725961,73.3271,773.505,-175.433,579.404,427.821,427.821,427.821,60.8084,-78.6885,61.992,833.299,45.3309,577.228,72.7889,72.7889,72.7889
